,review,review_lower,review_nopunc,review_nostop,no_other,cleaned_review,polarity,subjectivity
10,"I had a taste for wings, so thanks to Yelp, I decided to give the place a try.  I'm really impressed.  The place is small, but dammit, they make good food!  I had the lemon pepper and garlic wings.  Wow...VERY good!  Crunchy, not greasy tasting  The mild sauce was pretty good also.When I went to pick up my food, they had a slew of desserts in a cooler for customer purchase (they know how tempting that is!), and I must say, the lemon cake was pretty good also.  How can I forget...the sides!!  I order the corn nuggets, which is sweet corn rounded into batter balls and fried.  Again, not greasy, and not bad at all!!The ambiance is non-descript, but that's ok...the food is the story here.  And I must say, everything I had was pretty good.Customer Service...AFood...AAmbiance...BPrice....B+I definitely recommend Wingz It Is...you will not be disappointed.Peace and love!!!","i had a taste for wings, so thanks to yelp, i decided to give the place a try. i'm really impressed. the place is small, but dammit, they make good food! i had the lemon pepper and garlic wings. wow...very good! crunchy, not greasy tasting the mild sauce was pretty good also.when i went to pick up my food, they had a slew of desserts in a cooler for customer purchase (they know how tempting that is!), and i must say, the lemon cake was pretty good also. how can i forget...the sides!! i order the corn nuggets, which is sweet corn rounded into batter balls and fried. again, not greasy, and not bad at all!!the ambiance is non-descript, but that's ok...the food is the story here. and i must say, everything i had was pretty good.customer service...afood...aambiance...bprice....b+i definitely recommend wingz it is...you will not be disappointed.peace and love!!!",i had a taste for wings so thanks to yelp i decided to give the place a try im really impressed the place is small but dammit they make good food i had the lemon pepper and garlic wings wowvery good crunchy not greasy tasting the mild sauce was pretty good alsowhen i went to pick up my food they had a slew of desserts in a cooler for customer purchase they know how tempting that is and i must say the lemon cake was pretty good also how can i forgetthe sides i order the corn nuggets which is sweet corn rounded into batter balls and fried again not greasy and not bad at allthe ambiance is nondescript but thats okthe food is the story here and i must say everything i had was pretty goodcustomer serviceafoodaambiancebpricebi definitely recommend wingz it isyou will not be disappointedpeace and love,taste wings thanks yelp decided give place try im really impressed place small dammit make good food lemon pepper garlic wings wowvery good crunchy greasy tasting mild sauce pretty good alsowhen went pick food slew desserts cooler customer purchase know tempting must say lemon cake pretty good also forgetthe sides order corn nuggets sweet corn rounded batter balls fried greasy bad allthe ambiance nondescript thats okthe food story must say everything pretty goodcustomer serviceafoodaambiancebpricebi definitely recommend wingz isyou disappointedpeace love,had taste for wings so thanks to yelp decided to give place try really impressed place is small but dammit make good food had lemon pepper garlic wings wowvery good crunchy not greasy tasting mild sauce was pretty good alsowhen went to pick up food had slew of desserts in cooler for customer purchase how tempting that is must lemon cake was pretty good also how can forgetthe sides order corn nuggets which is sweet corn rounded into batter balls fried again not greasy not bad at allthe ambiance is nondescript but thats okthe food is story here must everything had was pretty goodcustomer serviceafoodaambiancebpricebi definitely recommend wingz it isyou will not be disappointedpeace love,had taste for wing so thanks to yelp decided to give place try really impressed place is small but dammit make good food had lemon pepper garlic wing wowvery good crunchy not greasy tasting mild sauce wa pretty good alsowhen went to pick up food had slew of dessert in cooler for customer purchase how tempting that is must lemon cake wa pretty good also how can forgetthe side order corn nugget which is sweet corn rounded into batter ball fried again not greasy not bad at allthe ambiance is nondescript but thats okthe food is story here must everything had wa pretty goodcustomer serviceafoodaambiancebpricebi definitely recommend wingz it isyou will not be disappointedpeace love,0.402222222,0.661111111
11,"This has to be one of my all time FAVORITE wings as fish place! From the customer service to the most delicious, tastiest wings I can't rave more about this place. Everything they cook is always so fresh. The customer service is impeccable, professional and super friendly. The wings comes in many different flavors, but lemon pepper and chipotle seasonings are my top favorite! MUST TRY place, literally have to come here every week because the craving is real.","this has to be one of my all time favorite wings as fish place! from the customer service to the most delicious, tastiest wings i can't rave more about this place. everything they cook is always so fresh. the customer service is impeccable, professional and super friendly. the wings comes in many different flavors, but lemon pepper and chipotle seasonings are my top favorite! must try place, literally have to come here every week because the craving is real.",this has to be one of my all time favorite wings as fish place from the customer service to the most delicious tastiest wings i cant rave more about this place everything they cook is always so fresh the customer service is impeccable professional and super friendly the wings comes in many different flavors but lemon pepper and chipotle seasonings are my top favorite must try place literally have to come here every week because the craving is real,one time favorite wings fish place customer service delicious tastiest wings cant rave place everything cook always fresh customer service impeccable professional super friendly wings comes many different flavors lemon pepper chipotle seasonings top favorite must try place literally come every week craving real,this has to be one of all time favorite wings as fish place from customer service to most delicious tastiest wings cant rave more about this place everything cook is always so fresh customer service is impeccable professional super friendly wings comes in many different flavors but lemon pepper chipotle seasonings are top favorite must try place have to come here every week because craving is real,this ha to be one of all time favorite wing a fish place from customer service to most delicious tastiest wing cant rave more about this place everything cook is always so fresh customer service is impeccable professional super friendly wing come in many different flavor but lemon pepper chipotle seasoning are top favorite must try place have to come here every week because craving is real,0.432738095,0.601190476
12,"This has to be one of my all time FAVORITE wings and fish  place! From the customer service to the most delicious, tastiest wings I can't rave more about this place. Everything they cook is always so fresh. The customer service is impeccable, professional and super friendly. The wings comes in many different flavors, but lemon pepper and chipotle seasonings are my top favorite! MUST TRY place, literally have to come here every week because the craving is real.","this has to be one of my all time favorite wings and fish place! from the customer service to the most delicious, tastiest wings i can't rave more about this place. everything they cook is always so fresh. the customer service is impeccable, professional and super friendly. the wings comes in many different flavors, but lemon pepper and chipotle seasonings are my top favorite! must try place, literally have to come here every week because the craving is real.",this has to be one of my all time favorite wings and fish place from the customer service to the most delicious tastiest wings i cant rave more about this place everything they cook is always so fresh the customer service is impeccable professional and super friendly the wings comes in many different flavors but lemon pepper and chipotle seasonings are my top favorite must try place literally have to come here every week because the craving is real,one time favorite wings fish place customer service delicious tastiest wings cant rave place everything cook always fresh customer service impeccable professional super friendly wings comes many different flavors lemon pepper chipotle seasonings top favorite must try place literally come every week craving real,this has to be one of all time favorite wings fish place from customer service to most delicious tastiest wings cant rave more about this place everything cook is always so fresh customer service is impeccable professional super friendly wings comes in many different flavors but lemon pepper chipotle seasonings are top favorite must try place have to come here every week because craving is real,this ha to be one of all time favorite wing fish place from customer service to most delicious tastiest wing cant rave more about this place everything cook is always so fresh customer service is impeccable professional super friendly wing come in many different flavor but lemon pepper chipotle seasoning are top favorite must try place have to come here every week because craving is real,0.432738095,0.601190476
13,Wings are soooo good! And customer service is exceptional! TThis will definitely be our new wing place!!,wings are soooo good! and customer service is exceptional! tthis will definitely be our new wing place!!,wings are soooo good and customer service is exceptional tthis will definitely be our new wing place,wings soooo good customer service exceptional tthis definitely new wing place,wings are soooo good customer service is exceptional tthis will definitely be our new wing place,wing are soooo good customer service is exceptional tthis will definitely be our new wing place,0.375757576,0.638636364
14,"The selection of sauces for wings both bread and not fried is amazing! The food is good and they have a good  amount of delicious sides too. A little pricey for wings but not too bad. Certainly worth the price for the variety and quality. The staff was attentive, informative and friendly. They have a very clean fine in area or carry out is also an option.","the selection of sauces for wings both bread and not fried is amazing! the food is good and they have a good amount of delicious sides too. a little pricey for wings but not too bad. certainly worth the price for the variety and quality. the staff was attentive, informative and friendly. they have a very clean fine in area or carry out is also an option.",the selection of sauces for wings both bread and not fried is amazing the food is good and they have a good amount of delicious sides too a little pricey for wings but not too bad certainly worth the price for the variety and quality the staff was attentive informative and friendly they have a very clean fine in area or carry out is also an option,selection sauces wings bread fried amazing food good good amount delicious sides little pricey wings bad certainly worth price variety quality staff attentive informative friendly clean fine area carry also option,selection of sauces for wings both bread not fried is amazing food is good have good amount of delicious sides too little pricey for wings but not too bad certainly worth price for variety quality staff was attentive informative friendly have very clean fine in area or carry out is also an option,selection of sauce for wing both bread not fried is amazing food is good have good amount of delicious side too little pricey for wing but not too bad certainly worth price for variety quality staff wa attentive informative friendly have very clean fine in area or carry out is also an option,0.370984848,0.652424242
15,Great food fried fresh and very clean. Cooked to order and tastes delicious dining area is small but well kept staff is friendly.  Has. Wide variety of meals and deals.,great food fried fresh and very clean. cooked to order and tastes delicious dining area is small but well kept staff is friendly. has. wide variety of meals and deals.,great food fried fresh and very clean cooked to order and tastes delicious dining area is small but well kept staff is friendly has wide variety of meals and deals,great food fried fresh clean cooked order tastes delicious dining area small well kept staff friendly wide variety meals deals,great food fried fresh very clean cooked to order tastes delicious dining area is small but well kept staff is friendly has wide variety of meals deals,great food fried fresh very clean cooked to order taste delicious dining area is small but well kept staff is friendly ha wide variety of meal deal,0.371666667,0.637142857
16,"I'm not sure where they find chicken wings this small, there was barely any meat on these wings, it was all breading and bone. Very Expensive for very low quality food. I wouldn't eat here again if you paid me.","i'm not sure where they find chicken wings this small, there was barely any meat on these wings, it was all breading and bone. very expensive for very low quality food. i wouldn't eat here again if you paid me.",im not sure where they find chicken wings this small there was barely any meat on these wings it was all breading and bone very expensive for very low quality food i wouldnt eat here again if you paid me,im sure find chicken wings small barely meat wings breading bone expensive low quality food wouldnt eat paid,not sure where find chicken wings this small there was barely any meat on these wings it was all breading bone very expensive for very low quality food wouldnt eat here again if you paid,not sure where find chicken wing this small there wa barely any meat on these wing it wa all breading bone very expensive for very low quality food wouldnt eat here again if you paid,-0.283333333,0.606481481
17,I had these wings  2X recently. I enjoy the buffalo wings. The deep fried corn nuggets are delish. Reasonable prices. Good people.,i had these wings 2x recently. i enjoy the buffalo wings. the deep fried corn nuggets are delish. reasonable prices. good people.,i had these wings 2x recently i enjoy the buffalo wings the deep fried corn nuggets are delish reasonable prices good people,wings 2x recently enjoy buffalo wings deep fried corn nuggets delish reasonable prices good people,had these wings 2x recently enjoy buffalo wings deep fried corn nuggets are delish reasonable prices good people,had these wing 2x recently enjoy buffalo wing deep fried corn nugget are delish reasonable price good people,0.325,0.525
18,"I don't leave many reviews but wow. Ordered for 5 people. Bone-in wings, boneless wings, hush puppies, and garlic sauce. Every single thing was disgusting. All 5 people agreed. The absolute worse thing was the boneless wings. I am not kidding when I say that these are low grade breaded chicken nuggets that you would expect from an elementary school cafeteria. To top it all off I ended up sick multiple times within six hours of eating this. Spent about $50 for this comically bad food. Absolute worse wings on the south side of Chicago.","i don't leave many reviews but wow. ordered for 5 people. bone-in wings, boneless wings, hush puppies, and garlic sauce. every single thing was disgusting. all 5 people agreed. the absolute worse thing was the boneless wings. i am not kidding when i say that these are low grade breaded chicken nuggets that you would expect from an elementary school cafeteria. to top it all off i ended up sick multiple times within six hours of eating this. spent about $50 for this comically bad food. absolute worse wings on the south side of chicago.",i dont leave many reviews but wow ordered for 5 people bonein wings boneless wings hush puppies and garlic sauce every single thing was disgusting all 5 people agreed the absolute worse thing was the boneless wings i am not kidding when i say that these are low grade breaded chicken nuggets that you would expect from an elementary school cafeteria to top it all off i ended up sick multiple times within six hours of eating this spent about 50 for this comically bad food absolute worse wings on the south side of chicago,dont leave many reviews wow ordered 5 people bonein wings boneless wings hush puppies garlic sauce every single thing disgusting 5 people agreed absolute worse thing boneless wings kidding say low grade breaded chicken nuggets would expect elementary school cafeteria top ended sick multiple times within six hours eating spent 50 comically bad food absolute worse wings south side chicago,dont leave many reviews but wow ordered for people bonein wings boneless wings hush puppies garlic sauce every single was disgusting all people agreed absolute worse was boneless wings am not kidding when that these are low grade breaded chicken nuggets that you would expect from an elementary school cafeteria to top it all off ended up sick multiple times within six hours of eating this spent about 50 for this comically bad food absolute worse wings on south side of chicago,dont leave many review but wow ordered for people bonein wing boneless wing hush puppy garlic sauce every single wa disgusting all people agreed absolute worse wa boneless wing am not kidding when that these are low grade breaded chicken nugget that you would expect from an elementary school cafeteria to top it all off ended up sick multiple time within six hour of eating this spent about 50 for this comically bad food absolute worse wing on south side of chicago,-0.136607143,0.624255952
19,"Food was aight!!!! But these guys are some ignorant people, I don't care how good the food is, when your ignorant and the service sucks, your food sucks and I won't be back!!!","food was aight!!!! but these guys are some ignorant people, i don't care how good the food is, when your ignorant and the service sucks, your food sucks and i won't be back!!!",food was aight but these guys are some ignorant people i dont care how good the food is when your ignorant and the service sucks your food sucks and i wont be back,food aight guys ignorant people dont care good food ignorant service sucks food sucks wont back,food was aight but these guys are some ignorant people dont care how good food is when your ignorant service sucks your food sucks wont be back,food wa aight but these guy are some ignorant people dont care how good food is when your ignorant service suck your food suck wont be back,0.35,0.3
20,"Love the fried chicken, tenders and shrimp. Everyone that works there is always very friendly. The last time we ordered are shrimp were super overdone, otherwise it would be 5 stars from our household.","love the fried chicken, tenders and shrimp. everyone that works there is always very friendly. the last time we ordered are shrimp were super overdone, otherwise it would be 5 stars from our household.",love the fried chicken tenders and shrimp everyone that works there is always very friendly the last time we ordered are shrimp were super overdone otherwise it would be 5 stars from our household,love fried chicken tenders shrimp everyone works always friendly last time ordered shrimp super overdone otherwise would 5 stars household,love fried chicken tenders shrimp everyone that works there is always very friendly last time we ordered are shrimp were super overdone otherwise it would be stars from our household,love fried chicken tender shrimp everyone that work there is always very friendly last time we ordered are shrimp were super overdone otherwise it would be star from our household,0.144166667,0.586666667
